problem,method,h,n_steps,max_error,time_sec
Laguerre-like,Euler,0.1,20,0.029474426363612416,4.626666001665095e-05
Laguerre-like,Heun,0.1,20,0.00030633961330983617,5.1033333875238895e-05
Laguerre-like,RK4,0.1,20,6.940592012227853e-08,8.920000012343128e-05
Laguerre-like,Euler,0.02,100,0.005930919595122486,0.00013033332652412355
Laguerre-like,Heun,0.02,100,1.226228535156082e-05,0.00025596666576651234
Laguerre-like,RK4,0.02,100,1.1110845576922657e-10,0.00041820000236233074
Chebyshev-like,Euler,0.0999998,10,49.718362732990656,1.9666670899217326e-05
Chebyshev-like,Heun,0.0999998,10,49.536800263121165,2.990000454398493e-05
Chebyshev-like,RK4,0.0999998,10,16.38672567801266,0.00013256666716188192
Chebyshev-like,Euler,0.019999959999999997,50,9.887570555895543,7.623333173493545e-05
Chebyshev-like,Heun,0.019999959999999997,50,9.79515607316198,0.00013656665881474814
Chebyshev-like,RK4,0.019999959999999997,50,3.20940138922908,0.0004953999984233329
Combination,Euler,0.1,20,,0.00013826666205811003
Combination,Heun,0.1,20,,0.0004504000147183736
Combination,RK4,0.1,20,,0.00041113334979551536
Combination,Euler,0.02,100,,0.0005168666733273616
Combination,Heun,0.02,100,,0.0008916999989499649
Combination,RK4,0.02,100,,0.0018190666645144422
Nonlinear stiff-ish,Euler,0.1,20,0.5705030517202893,2.026666576663653e-05
Nonlinear stiff-ish,Heun,0.1,20,0.5022254507555451,3.4866660522917904e-05
Nonlinear stiff-ish,RK4,0.1,20,0.09949347753284712,7.603333021203677e-05
Nonlinear stiff-ish,Euler,0.02,100,0.0448877395007764,0.00015619999612681568
Nonlinear stiff-ish,Heun,0.02,100,0.006651912860069109,0.00016266667322876552
Nonlinear stiff-ish,RK4,0.02,100,5.4163812696322866e-05,0.0002732333280922224
